Mod_Charge,Complement C3,Apolipoprotein A-I,Apolipoprotein E
No Modification,0.8471159026616989,6.537302724312659,5.746609942121755
No Modification,0.8626813036706554,2.4622897045090735,2.3564668234583994
No Modification,0.9080856265500452,4.420245123389592,2.916538573948047
Neutral,1.5022352358472353,4.237476358138322,4.459047844265585
Neutral,0.9902463016902285,3.21046987793881,2.5251010668640195
Neutral,0.8315358626031222,7.0994686267985525,8.07729027291197
Neutral,1.1537110438268854,4.529997056497869,4.409479443513411
Neutral,0.9230295391729462,2.4623174023417547,2.762631511829978
Neutral,0.797523533071339,3.429072349776006,2.304078061994091
Neutral,1.2014407381865426,5.026333471458051,5.63617819433617
Neutral,1.1777139711254017,6.733237678625206,6.296861996352554
Neutral,0.8107539737028971,2.8782960876446895,2.5814427894581065
Neutral,0.9490045829814208,7.852117869827718,6.704537381257354
Neutral,0.8215515832803387,3.728607159816859,5.559952667092531
Positive,0.9867798514513627,6.740947394648317,4.445269954296788
Positive,0.9850872193297847,6.726831218518771,7.487680438564487
Neutral,0.6966420705062656,11.820612799970261,9.726255880428454
Neutral,1.019225610895851,2.7593849186029944,2.650480439475969
Negative,1.309066903141655,2.8029341723347003,2.0371047323708256
Negative,0.9593791943434201,3.053705976086809,2.9782998992559526
No Modification,1.0765596724739586,4.1938347782976795,3.7073188352040227
No Modification,1.3206965732861509,7.738946955127446,7.430396851539632
No Modification,1.2431947597060735,3.0948450324483754,2.8814904143773075
No Modification,1.1663718400428764,4.1774493235958445,3.2141235103287333
No Modification,1.2929451543211534,6.502362151348976,6.365231901623441
Negative,1.1278020994826343,2.403253960820444,2.715009968487208
Negative,1.1244211822061776,4.340321812371237,3.803461250507328
Negative,1.1736967346353266,5.4505938087326165,5.514192909533162
Negative,1.2656400665546172,6.314533915327968,5.734190835068313
No Modification,0.7188293081700217,8.384530468891507,6.518984687022923
Negative,0.8757737920354877,3.141542120567937,2.404235216631773
Neutral,1.1945222849804884,2.00012597654601,1.444071946627007
Neutral,0.6525909327900137,2.494458064570208,3.0742846619824946
Positive,0.9032028322789382,2.5207923864003154,2.326703401067396
No Modification,1.187096259486296,4.934533135415311,4.027631061574893
Negative,1.049249087073067,3.2132267841443514,3.3768628301895234
Neutral,1.3002784871430788,6.165739700384769,5.586431548272366
Neutral,1.189249542226051,8.809330670939907,8.803947120895137
Positive,0.912673082789515,3.6944263335443472,2.9219173287779503
Neutral,1.1062979109245155,5.168394197498424,3.8440080078731764
Neutral,1.0021464426598015,6.903455438256854,8.28594869083798
Neutral,1.0536828013285353,6.477696988383068,7.354504183912027
Neutral,1.2601398751602304,5.259484594356129,4.925534392019336
Neutral,1.1671207968347945,8.187202362187794,6.580105949620887
Neutral,1.0799143800982567,3.772099317139091,3.526808660325286
Neutral,1.1734807926719346,4.439597161749633,3.4062037639299514
No Modification,1.1599443383699335,4.330388980830306,4.28747424114717
No Modification,1.43435402668475,2.7156862423528776,2.400144014109737
Neutral,1.140074353586874,3.9223202134288084,3.1871598559149974
Neutral,1.0944650840128025,6.800475868202536,7.320331046780195
Neutral,1.1657015122074332,4.187491002759943,3.694434197308276
Neutral,1.3734243843864116,5.032010069376997,4.059432658338931
Positive,1.1891306399016255,3.503253705708827,2.7943807827923055
Positive,0.8049597227964906,4.251886520035798,3.320513680707452
Neutral,1.2518846018421421,4.379155145643829,3.5511783053175083
Negative,1.245317869382856,4.632065999561937,4.049833405618896
Negative,1.2574613765616158,3.430513123002309,3.0657724355947447
No Modification,1.1985856760287543,3.2168352772231126,2.694933064750057
No Modification,1.0439931568515994,2.357346260932292,1.9997572757972322
Negative,0.8112771439303688,6.195830237067937,6.047829664999246
Negative,1.1306041030762972,4.108283947976181,3.5291285500630063
No Modification,1.2930282580962893,5.900303594972163,4.964802036722754
Negative,0.9461912644891431,8.24428225014763,5.473022631162428
No Modification,1.0047279016194497,4.59084773711744,4.508470745530427
Negative,1.3712301890188974,4.407092054354324,4.190221506090174
No Modification,1.041545175340016,6.420730807315289,6.030612113136148
Negative,1.0224272157959564,8.332571278489437,6.959877166024452
No Modification,1.2641622257287755,5.388067652199287,5.605461598389513
Negative,1.4430469372679007,6.263629672202224,5.541473219443694
Positive,0.685221182615304,8.261356749178267,8.528233356871505
Neutral,1.116403202129093,3.7625544982191386,4.158742641367648
Neutral,1.1463576382469656,5.513933406878368,4.686759943315965
Neutral,1.1703104475764765,6.878162943677065,6.468515607309712
Neutral,0.8052525037888929,5.402531751981458,4.119526647294305
No Modification,1.4557605363440935,2.877194977313896,2.5777182051338534
No Modification,1.1756720474443287,6.1249062920364725,6.708674833036384
Negative,0.9827205516658727,5.4649296238160545,3.8732534048272576
Negative,0.9613826345840067,4.906838218295609,4.142493285629081
Negative,1.2506215523120365,6.012121203286178,5.805682058807618
Negative,1.0124219048254655,5.570251847402921,6.000822865430107
Negative,0.786528008657112,2.4515198639015967,2.0355273626386516
Negative,1.424711048173852,6.3158230793648595,6.332093127436368
